time_ms,relative_alt_m,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
12387,-0.35,1.33,-7.23,6.18,-0.10,-0.08,0.12
12432,-0.40,1.18,-7.85,5.96,-0.24,0.02,0.10
12478,-0.38,1.44,-7.98,5.57,-0.19,-0.48,0.48
12532,-0.46,-0.24,-8.46,7.05,-0.52,-0.93,-0.26
12583,-0.45,1.14,-7.81,5.87,-0.84,-1.44,-0.79
12629,-0.44,0.91,-8.45,3.36,-1.29,-1.45,-0.39
12674,-0.57,3.97,-8.03,2.51,-0.31,0.22,0.92
12720,-0.69,0.36,-8.31,5.14,-0.07,0.41,0.50
12768,-0.72,1.82,-8.66,5.27,-0.70,-1.94,-0.07
12813,-0.79,2.23,-8.51,3.54,-0.70,-1.24,-0.11
12859,-0.83,3.32,-7.06,1.37,-0.40,-0.40,-0.48
12904,-0.88,1.07,-10.65,1.34,0.41,2.22,0.37
12950,-0.79,1.13,-2.78,3.78,-0.45,-0.75,-0.14
12995,-0.79,3.16,-17.31,5.82,-1.07,-1.57,0.29
13050,-0.74,4.80,-8.91,3.37,-0.54,0.26,1.66
13100,-0.76,0.44,-9.24,-0.91,-0.65,1.87,1.55
13146,-0.86,-2.28,-9.84,5.84,0.04,1.43,-0.02
13192,-0.91,3.16,-9.35,1.95,-1.08,0.26,-0.92
13237,-0.77,1.04,-9.40,0.70,-0.74,0.96,0.50
13285,-0.79,-1.44,-9.90,1.68,-0.40,1.34,0.19
13331,-0.83,-0.57,-9.20,5.48,-0.90,-0.52,-0.50
13376,-0.91,0.12,-8.85,1.70,-2.69,-0.19,-1.13
13422,-0.93,2.99,-10.56,-6.58,-2.13,-0.43,-1.00
13468,-1.06,3.81,-11.54,-0.07,0.88,-0.54,-0.61
13513,-1.06,3.08,-9.87,-2.32,0.27,0.27,0.01
13568,-1.11,1.90,-10.04,1.45,0.66,-0.27,0.60
13618,-1.13,0.17,-9.64,0.55,0.19,-0.23,0.21
13664,-1.14,0.87,-10.05,-0.20,-0.38,-0.25,-0.03
13709,-1.05,0.45,-9.99,-1.47,0.06,-0.11,0.13
13755,-1.10,2.58,-8.56,1.21,0.81,0.55,-0.06
13803,-1.04,0.64,-9.10,1.94,0.72,0.35,-0.74
13849,-1.13,4.48,-9.46,1.53,0.02,0.14,-0.88
13894,-1.13,2.87,-9.84,0.92,-0.14,0.21,-0.21
13940,-1.17,2.98,-9.30,1.94,0.13,-0.70,-0.34
13985,-1.14,1.98,-10.06,-0.23,-0.38,-0.62,0.58
14032,-1.09,-0.22,-10.18,-0.77,-0.19,0.22,0.13
14086,-1.05,2.64,-9.70,0.94,0.00,-0.05,-0.27
14136,-1.07,3.47,-9.48,0.29,0.06,-0.12,-0.07
14181,-1.06,3.04,-9.56,1.05,0.06,0.03,0.14
14227,-1.08,2.34,-9.77,1.15,-0.11,0.08,0.21
14272,-0.99,0.78,-9.95,-0.31,-0.04,-0.01,0.02
14320,-0.98,2.63,-9.78,0.51,-0.06,0.01,-0.06
14366,-1.05,3.72,-9.53,0.63,-0.01,0.07,0.04
14411,-1.01,2.51,-9.58,0.76,-0.02,0.08,0.13
